Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012203,2024-20251940118000,19401,1,12/8/2025 14:09,8000,2024-2025,160344.61
1012204,2024-20251940118100,19401,1,12/8/2025 14:09,8100,2024-2025,124944.61
1012208,2024-20251940118198,19401,1,12/8/2025 14:09,8198,2024-2025,35000
1012210,2024-20251940118200,19401,1,12/8/2025 14:09,8200,2024-2025,400
1012214,2024-20251940119000,19401,1,12/8/2025 14:09,9000,2024-2025,1261150.4
1012217,2024-20251940119300,19401,1,12/8/2025 14:09,9300,2024-2025,1619
1012221,2024-20251940119901,19401,1,12/8/2025 14:09,9901,2024-2025,1259531.4
1012219,2024-20251406819500,14068,1,12/8/2025 14:09,9500,2024-2025,107516.64
1012214,2024-20251406819000,14068,1,12/8/2025 14:09,9000,2024-2025,107516.64
1012211,2024-20251406818500,14068,1,12/8/2025 14:09,8500,2024-2025,10221.75
1012210,2024-20251406818200,14068,1,12/8/2025 14:09,8200,2024-2025,25000
1012207,2024-20251406818189,14068,1,12/8/2025 14:09,8189,2024-2025,53839.33
1012204,2024-20251406818100,14068,1,12/8/2025 14:09,8100,2024-2025,89156.51
1012203,2024-20251406818000,14068,1,12/8/2025 14:09,8000,2024-2025,178217.59
1012202,2024-20251406817301,14068,1,12/8/2025 14:09,7301,2024-2025,253912.08
1012201,2024-20251406817199,14068,1,12/8/2025 14:09,7199,2024-2025,198726.26
1012200,2024-20251406817198,14068,1,12/8/2025 14:09,7198,2024-2025,37479.55
1012198,2024-20251406817189,14068,1,12/8/2025 14:09,7189,2024-2025,265262.21
1012191,2024-20251406817000,14068,1,12/8/2025 14:09,7000,2024-2025,755380.1
1012190,2024-20251406816998,14068,1,12/8/2025 14:09,6998,2024-2025,65951.79
1012159,2024-20251406816300,14068,1,12/8/2025 14:09,6300,2024-2025,42596.86
1012126,2024-20251406816198,14068,1,12/8/2025 14:09,6198,2024-2025,653201.82
1012119,2024-20251406816164,14068,1,12/8/2025 14:09,6164,2024-2025,20173.72
1012113,2024-20251406816152,14068,1,12/8/2025 14:09,6152,2024-2025,160005.94
1012112,2024-20251406816151,14068,1,12/8/2025 14:09,6151,2024-2025,685659.82
1012110,2024-20251406816138,14068,1,12/8/2025 14:09,6138,2024-2025,25947
1012108,2024-20251406816124,14068,1,12/8/2025 14:09,6124,2024-2025,419213.46
1012096,2024-20251406816000,14068,1,12/8/2025 14:09,6000,2024-2025,2072750.41
1012093,2024-20251406815500,14068,1,12/8/2025 14:09,5500,2024-2025,3967.68
1012088,2024-20251406815000,14068,1,12/8/2025 14:09,5000,2024-2025,3967.68
1012085,2024-20251406814388,14068,1,12/8/2025 14:09,4388,2024-2025,78400
1012083,2024-20251406814358,14068,1,12/8/2025 14:09,4358,2024-2025,7995.72
1012077,2024-20251406814199,14068,1,12/8/2025 14:09,4199,2024-2025,1238796.82
1012076,2024-20251406814198,14068,1,12/8/2025 14:09,4198,2024-2025,289921.99
1012074,2024-20251406814174,14068,1,12/8/2025 14:09,4174,2024-2025,15775.29
1012073,2024-20251406814165,14068,1,12/8/2025 14:09,4165,2024-2025,228626.57
1012071,2024-20251406814158,14068,1,12/8/2025 14:09,4158,2024-2025,374997.38
1012069,2024-20251406814155,14068,1,12/8/2025 14:09,4155,2024-2025,1281984.42
1012064,2024-20251406814121,14068,1,12/8/2025 14:09,4121,2024-2025,3105494.69
1012063,2024-20251406814109,14068,1,12/8/2025 14:09,4109,2024-2025,166315.39
1012062,2024-20251406814100,14068,1,12/8/2025 14:09,4100,2024-2025,4328
1012061,2024-20251406814000,14068,1,12/8/2025 14:09,4000,2024-2025,6792636.27
1012059,2024-20251406813600,14068,1,12/8/2025 14:09,3600,2024-2025,519222.42
1012058,2024-20251406813300,14068,1,12/8/2025 14:09,3300,2024-2025,844674.45
